Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 60781367, Stock antes: 10, Stock restante: 9, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 60781367, Stock antes: 9, Stock restante: 8, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 60781367, Stock antes: 8, Stock restante: 7, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 60781367, Stock antes: 7, Stock restante: 6, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 60781367, Stock antes: 6, Stock restante: 5, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 3, DNI: 60781367, Stock antes: 10, Stock restante: 7, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 30.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 10, DNI: 60781367, Stock antes: 10, Stock restante: 0, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 100.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 4, DNI: 87654321, Stock antes: 10, Stock restante: 6, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 40.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 2, DNI: 87654321, Stock antes: 10, Stock restante: 8, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 20.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 87654321, Stock antes: 10, Stock restante: 9, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 78346523, Stock antes: 9, Stock restante: 8, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 10.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 7, DNI: 99999999, Stock antes: 10, Stock restante: 3, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 70.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 3, DNI: 32121323, Stock antes: 10, Stock restante: 7, Proveedor: Vittorio, Precio unitario: 10.0, Total a pagar: 30.0
Código de producto: 1020, Producto: Fideos, Cantidad adquirida: 1, DNI: 60781367, Stock antes: 10, Stock restante: 9, Proveedor: Clases.Proveedor@5ae8020b, Precio unitario: 10.0, Total a pagar: 10.0
